Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG160012302450,VSDP16001766,SW-LPA,-910,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-01-05
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,3LP216024420610,VSDL17000110,SW-LUA,-65,VNG-S,ส่งก่อนเที่ยง-ไม่เกิน15.30น,2017-01-20
บริษัท เอส.พี.เอส.อินเตอร์เทค จำกัด,Sales order,On order,1PB01S4090012302450,VSDP17000722,SW-LPA,"-1,430.00",VNG-S,ส่งเอสพี่เอสโคฯ,2017-02-08
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001204,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,2017-03-01
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001205,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,2017-03-01
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG120012302450,VSDP17001221,SW-LPA,-340,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-03-02
หจก.เกรียงไกรค้าไม้,Sales order,On order,4MBP2FS055012302450,VSDS17000216,SW-LMA,"-1,260.00",VNG-S,หจก.เกรียงไกรค้าไม้,2017-03-08
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001330,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,2017-03-06
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17001438,SW-LPA,-900,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-03-13
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17001462,SW-LPA,-900,VNG-S,พระประแดง,2017-03-22
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG160012302450,VSDP17001530,SW-LPA,-975,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-03-16
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001617,SW-LPA,"-1,050.00",VNG-S,นีวู๊ด (สุรินทร์เฟอร์) *ให้ไม้หมอนเลยคิดเงินแล้ว*,2017-03-22
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001862,SW-LPA,-70,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-04-01
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001863,SW-LPA,-70,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-04-01
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001865,SW-LPA,"-1,050.00",VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-04-01
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001866,SW-LPA,"-1,050.00",VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-04-01
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001867,SW-LPA,"-1,050.00",VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-04-01
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001868,SW-LPA,-70,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-04-01
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001868,SW-LPA,-980,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,2017-04-01
บริษัท เกียรติถาวร พาราวู้ด จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17001869,SW-LPA,-595,VNG-S,มารับเอง,2017-04-01
บริษัท เกียรติถาวร พาราวู้ด จำกัด,Sales order,On order,1PB02NG120012302450,VSDP17001870,SW-LPA,-595,VNG-S,มารับเอง,2017-04-01
บริษัท ซีอาร์ซี ไทวัสดุ จำกัด (สาขาสุรินทร์),Sales order,On order,1PB02NG090012302450,VSDP17001894,SW-LPA,-110,VNG-S,ปทุม **ติดบาร์โค๊ต**,2017-04-04
