ลำดับ,id,ชื่อสถานที่จัดส่ง,จังหวัด
1,1,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,สมุทรสาคร
2,4,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,สมุทรปราการ
3,5,พระประแดง,สมุทรปราการ
4,6,มารับเอง,รับเอง
5,7,บริษัท เกียรติถาวร พาราวู้ด จำกัด,สมุทรปราการ
6,8,T.M.P,กทม.
7,9,บริษัท ที.เอ็ม.พี.วู้ด จำกัด,กทม.
8,11,โคราช,โคราช
9,12,บริษัท นีสเทิร์น อินดัสทรี่ จำกัด,โคราช
10,13,บริษัท แกรนด์ดิส จำกัด,กทม.
11,14,พูนธนาทรัพย์ (คลอง 14),ปทุม
12,15,บริษัท พี.เอช.เค.ซัพพลาย จำกัด,สมุทรปราการ
13,16,เมโทรท๊อปวู้ด (พระนั่งเกล้า),นนทบุรี
14,17,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),ระยอง
15,18,เจี่ยซิง,ชลบุรี
16,19,บริษัท เมเจอร์ แปลน จำกัด,กทม.
17,21,บริษัท สถาพร ลามิเนชั่น จำกัด,สมุทรสาคร
18,22,บริษัท อาร์ เอ็ม ซี เมทัลวู๊ด จำกัด,สมุทรสาคร
19,24,โกดังสยามวู๊ด,นนทบุรี
20,25,ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,นนทบุรี
21,27,ฟอร์จูน,นนทบุรี
22,28,บางบัวทอง,นนทบุรี
23,29,บริษัท เอส.บี.อุตสาหกรรมเครื่องเรือน จำกัด,นนทบุรี
24,30,โกดัง 2,นนทบุรี
25,31,บริษัท ลานนาไม้อัดไทย จำกัด,นนทบุรี
26,32,บริษัท ย่งพงษ์เส็งรังสิต จำกัด,ปทุมธานี
27,33,ฉัตรอินเตอร์ไม้อัดไทย,สมุทรสาคร
28,36,ธนพล,นนทบุรี
29,37,ดูโฮม (สาขาอุบลฯ),นนทบุรี
30,38,H.T.บอร์ด (ชลบุรี),ชลบุรี
