Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,,,
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG160012302450,VSDP16001766,SW-LPA,-910.00,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,1/5/2017,12/27/2016 04:40:29 pm,คุณไกรฤกษ์
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,3LP216024420610,VSDL17000110,SW-LUA,-65.00,VNG-S,ส่งก่อนเที่ยง-ไม่เกิน15.30น,1/20/2017,1/18/2017 03:44:27 pm,คุณสุภาพ
บริษัท เอส.พี.เอส.อินเตอร์เทค จำกัด,Sales order,On order,1PB01S4090012302450,VSDP17000722,SW-LPA,"-1,430.00",VNG-S,ส่งเอสพี่เอสโคฯ,2/8/2017,2/8/2017 02:05:31 pm,คุณไกรฤกษ์
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001204,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,3/1/2017,3/1/2017 01:18:06 pm,คุณวัชรชัย
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001205,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,3/1/2017,3/1/2017 01:20:21 pm,คุณวัชรชัย
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG120012302450,VSDP17001221,SW-LPA,-340.00,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,3/2/2017,3/1/2017 02:37:19 pm,คุณไกรฤกษ์
หจก.เกรียงไกรค้าไม้,Sales order,On order,4MBP2FS055012302450,VSDS17000216,SW-LMA,"-1,260.00",VNG-S,หจก.เกรียงไกรค้าไม้,3/8/2017,3/3/2017 10:42:56 am,คุณประดิษฐ์
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001330,SW-LPA,"-1,050.00",VNG-S,รับเอง-ใบชั่วคราว,3/6/2017,3/6/2017 01:36:07 pm,คุณวัชรชัย
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG180012302450,VSDP17001438,SW-LPA,-900.00,VNG-S,บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,3/13/2017,3/13/2017 02:49:08 pm,คุณดำรงศักดิ์
บริษัท เอช.ที.บอร์ด จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17001617,SW-LPA,"-1,050.00",VNG-S,นีวู๊ด (สุรินทร์เฟอร์) *ให้ไม้หมอนเลยคิดเงินแล้ว*,3/22/2017,3/20/2017 03:44:22 pm,คุณวัชรชัย
